entry_id,category,base_function,level,package_status,release_status,score_surface,required_task_forms,complete_circuit_form,materialization_status,prompt_status,meta_status,checks_status,gold_status,static_status,evas_status,spectre_status,certification_status,evidence_link,notes
vbr1_l2_programmable_stimulus_sequencer,Stimulus and Source Generators,Programmable stimulus sequencer,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Ramp + swept/chirp sine + gated burst/PRBS schedule with mode-switch continuity checker,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Support/stimulus L2; fresh dual evidence required and paper tables must report it separately from core circuit-function coverage.
vbr1_l1_first_order_lowpass,Baseband Signal Conditioning,First-order lowpass,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Voltage-domain filter abstraction,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_resettable_integrator,Baseband Signal Conditioning,Resettable integrator,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Integrator with reset or decay semantics,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_soft_hysteretic_limiter,Baseband Signal Conditioning,Soft/hysteretic limiter,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Smooth or stateful limiting distinct from hard voltage clamp,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_precision_rectifier_envelope_detector,Baseband Signal Conditioning,Precision rectifier/envelope detector,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,e2e-form,ahdlLib-guided clean-room replacement,missing,pending,pending,pending,pending,pending,pending,not_certified,,Replaces vbr1_l1_voltage_gain_amplifier; fresh static and dual evidence required.
vbr1_l1_higher_order_filter,Baseband Signal Conditioning,Higher-order filter,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Multi-pole or second-order voltage-domain filter abstraction,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_slew_rate_limiter,Baseband Signal Conditioning,Slew-rate limiter,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Bounded slope transform,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l2_amplifier_filter_chain,Baseband Signal Conditioning,Amplifier/filter chain,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Gain block + filter or limiter with measured chain response,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_aperture_delay_track_and_hold,"Sampling and Analog Memory",Aperture-delay track-and-hold,L1,current_l1_seed,Required,model-capability,dut; tb; bugfix; e2e-form,Clocked track/sample behavior with explicit aperture timing and held output,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_sample_and_hold_with_droop_leakage,"Sampling and Analog Memory",Sample-and-hold with droop/leakage,L1,current_l1_seed_with_review,Required with review,model-capability,dut; tb; bugfix; e2e-form,Held analog memory with decay or leakage,source_review_pending,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_clocked_sample_and_hold,"Sampling and Analog Memory",Clocked sample-and-hold,L1,selected_l1_addition,Required expansion,model-capability,dut; tb; bugfix; e2e-form,Held analog memory sampled on clock edges; no reset port in the current validated kernel,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l2_converter_front_end,"Sampling and Analog Memory",Converter front-end,L2,selected_l2_target,Required expansion,benchmark-e2e,e2e; tb,Sampling front-end + quantizer or comparator interaction,missing,pending,pending,pending,pending,pending,pending,pending,not_certified,,Generated from VABENCH_RELEASE_TAXONOMY; do not score until certified.
vbr1_l1_acquisition_limited_sample_and_hold,"Sampling and Analog Memory",Acquisition-limited sample-and-hold,L1,selected_l1_addition,Required rebalance addition,model-capability,dut; tb; bugfix; e2e-form,Finite-bandwidth track/hold front end with explicit acquisition settling and hold behavior,release_designed,complete,complete,complete,complete,pending,pending,pending,not_certified,,Added during 64-entry rebalance; fresh dual validation required before full certification.
vbr1_l1_programmable_gain_amplifier,Baseband Signal Conditioning,Programmable gain amplifier,L1,selected_l1_addition,Required rebalance addition,model-capability,dut; tb; bugfix; e2e-form,"Sampled gain-code amplifier with low/high gain modes, common-mode offset, rail clamps, and clip metric",release_designed,complete,complete,complete,complete,pending,pending,pending,not_certified,,Added during 64-entry rebalance; fresh dual validation required before full certification.
