entry_id,base_function,package_status,forms_materialized,missing_forms,source_paths,invalid_source_paths,package_task_dir,notes
vbr1_l1_ldo_regulator_macro_model,LDO regulator macro model,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_ldo_regulator_macro_model,,benchmark-vabench-release-v1/tasks/CT07_bias_reference_power_management/vbr1_l1_ldo_regulator_macro_model,designed release source generated; dual evidence pending rerun
vbr1_l1_lfsr_prbs_generator,PRBS stimulus/dither generator,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/spec-to-va/voltage/digital-logic/prbs7|tasks/end-to-end/voltage/lfsr_smoke,,benchmark-vabench-release-v1/tasks/SUP02_stimulus_and_source_generators/vbr1_l1_lfsr_prbs_generator,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l1_limiting_amplifier_frontend,Limiting amplifier front-end,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_limiting_amplifier_frontend,,benchmark-vabench-release-v1/tasks/CT08_rf_afe_behavioral_macromodels/vbr1_l1_limiting_amplifier_frontend,designed release source generated; dual evidence pending rerun
vbr1_l1_lna_gain_compression_macro,LNA gain/compression macro,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_lna_gain_compression_macro,,benchmark-vabench-release-v1/tasks/CT08_rf_afe_behavioral_macromodels/vbr1_l1_lna_gain_compression_macro,designed release source generated; dual evidence pending rerun
vbr1_l1_log_rssi_power_detector,Log/RSSI power detector,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_log_rssi_power_detector,,benchmark-vabench-release-v1/tasks/CT08_rf_afe_behavioral_macromodels/vbr1_l1_log_rssi_power_detector,designed release source generated; dual evidence pending rerun
vbr1_l1_loop_filter_abstraction,Sampled loop-filter abstraction,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_loop_filter_abstraction,,benchmark-vabench-release-v1/tasks/CT05_pll_clock_and_timing_systems/vbr1_l1_loop_filter_abstraction,designed release source generated; dual evidence pending rerun
vbr1_l1_pa_compression_macro,PA compression macro,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_pa_compression_macro,,benchmark-vabench-release-v1/tasks/CT08_rf_afe_behavioral_macromodels/vbr1_l1_pa_compression_macro,designed release source generated; dual evidence pending rerun
vbr1_l1_power_on_reset_detector,Power-on-reset detector,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_power_on_reset_detector,,benchmark-vabench-release-v1/tasks/CT07_bias_reference_power_management/vbr1_l1_power_on_reset_detector,designed release source generated; dual evidence pending rerun
vbr1_l1_precision_rectifier_envelope_detector,Precision rectifier/envelope detector,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_precision_rectifier_envelope_detector,,benchmark-vabench-release-v1/tasks/CT04_baseband_signal_conditioning/vbr1_l1_precision_rectifier_envelope_detector,ahdlLib-guided clean-room replacement for vbr1_l1_voltage_gain_amplifier; dual evidence pending rerun
vbr1_l1_programmable_gain_amplifier,Programmable gain amplifier,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_programmable_gain_amplifier,,benchmark-vabench-release-v1/tasks/CT04_baseband_signal_conditioning/vbr1_l1_programmable_gain_amplifier,release-designed strong analog entry added during 64-entry rebalance; fresh dual evidence pending
vbr1_l1_propagation_delay_comparator,Propagation-delay comparator,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/end-to-end/voltage/cmp_delay_smoke,,benchmark-vabench-release-v1/tasks/CT02_comparator_and_decision_circuits/vbr1_l1_propagation_delay_comparator,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l1_ptat_ctat_reference_generator,PTAT/CTAT reference generator,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_ptat_ctat_reference_generator,,benchmark-vabench-release-v1/tasks/CT07_bias_reference_power_management/vbr1_l1_ptat_ctat_reference_generator,designed release source generated; dual evidence pending rerun
vbr1_l1_ramp_or_step_source,Periodic phase-ramp guard source,selected_l1_addition,dut|tb|e2e,,tasks/end-to-end/voltage/bound_step_period_guard_smoke,,benchmark-vabench-release-v1/tasks/SUP02_stimulus_and_source_generators/vbr1_l1_ramp_or_step_source,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l1_rf_mixer_downconverter_macro,RF mixer/downconverter macro,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_rf_mixer_downconverter_macro,,benchmark-vabench-release-v1/tasks/CT08_rf_afe_behavioral_macromodels/vbr1_l1_rf_mixer_downconverter_macro,designed release source generated; dual evidence pending rerun
vbr1_l1_sine_periodic_voltage_source,Sine/periodic voltage source,selected_l1_addition,dut|tb|e2e,,tasks/spec-to-va/voltage/signal-source/multitone,,benchmark-vabench-release-v1/tasks/SUP02_stimulus_and_source_generators/vbr1_l1_sine_periodic_voltage_source,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l1_soft_hysteretic_limiter,Soft/hysteretic limiter,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_soft_hysteretic_limiter,,benchmark-vabench-release-v1/tasks/CT04_baseband_signal_conditioning/vbr1_l1_soft_hysteretic_limiter,designed release source generated; dual evidence pending rerun
vbr1_l1_successive_approximation_calibration_search_fsm,Successive-approximation calibration/search FSM,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_successive_approximation_calibration_search_fsm,,benchmark-vabench-release-v1/tasks/CT06_calibration_dem_and_control/vbr1_l1_successive_approximation_calibration_search_fsm,designed release source generated; dual evidence pending rerun
vbr1_l1_threshold_comparator,Threshold comparator,selected_l1_addition,dut|tb|bugfix|e2e,,tasks/end-to-end/voltage/comparator_smoke,,benchmark-vabench-release-v1/tasks/CT02_comparator_and_decision_circuits/vbr1_l1_threshold_comparator,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l1_unit_element_thermometer_dac,Unit-element thermometer DAC,selected_l1_addition,bugfix|dut|e2e|tb,,tasks/spec-to-va/voltage/dac/vbm1_thermometer_dac_15seg_dut|tasks/tb-generation/voltage/dac/vbm1_thermometer_dac_15seg_tb|tasks/bugfix/voltage/dac/vbm1_thermometer_dac_15seg_bugfix|tasks/end-to-end/voltage/dac/vbm1_thermometer_dac_15seg_e2e,,benchmark-vabench-release-v1/tasks/CT01_data_converter_models/vbr1_l1_unit_element_thermometer_dac,selected source copied; release checks normalized when needed; dual evidence pending rerun
vbr1_l1_uvlo_brownout_detector,UVLO/brownout detector,selected_l1_addition,dut|tb|bugfix|e2e,,designed_release_spec:vbr1_l1_uvlo_brownout_detector,,benchmark-vabench-release-v1/tasks/CT07_bias_reference_power_management/vbr1_l1_uvlo_brownout_detector,designed release source generated; dual evidence pending rerun
vbr1_l1_window_comparator_detector,Window comparator/detector,selected_l1_addition,dut|tb|bugfix|e2e,,manual_release_spec:vbr1_l1_window_comparator_detector,,benchmark-vabench-release-v1/tasks/CT02_comparator_and_decision_circuits/vbr1_l1_window_comparator_detector,manual release spec corrected to true window semantics; fresh dual evidence pending rerun; companion forms generated from existing release gold; true-bugfix companion generated from existing release gold
vbr1_l2_adpll_lock_ratio_hop_timer_flow,ADPLL lock/ratio-hop/timer flow,selected_l2_target,tb|e2e,,tasks/end-to-end/voltage/adpll_ratio_hop_smoke,,benchmark-vabench-release-v1/tasks/CT05_pll_clock_and_timing_systems/vbr1_l2_adpll_lock_ratio_hop_timer_flow,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l2_agc_receiver_leveling_loop,AGC receiver leveling loop,selected_l2_target,e2e|tb,,designed_release_spec:vbr1_l2_agc_receiver_leveling_loop,,benchmark-vabench-release-v1/tasks/CT08_rf_afe_behavioral_macromodels/vbr1_l2_agc_receiver_leveling_loop,designed release source generated; dual evidence pending rerun
vbr1_l2_amplifier_filter_chain,Amplifier/filter chain,selected_l2_target,e2e|tb,,designed_release_spec:vbr1_l2_amplifier_filter_chain,,benchmark-vabench-release-v1/tasks/CT04_baseband_signal_conditioning/vbr1_l2_amplifier_filter_chain,designed release source generated; dual evidence pending rerun
vbr1_l2_comparator_measurement_flow,Single-ramp comparator offset measurement flow,selected_l2_target,tb|e2e,,tasks/end-to-end/voltage/comparator_measurement_flow_smoke,,benchmark-vabench-release-v1/tasks/CT02_comparator_and_decision_circuits/vbr1_l2_comparator_measurement_flow,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l2_complete_calibration_loop,Complete calibration loop,selected_l2_target,e2e|tb,,designed_release_spec:vbr1_l2_complete_calibration_loop,,benchmark-vabench-release-v1/tasks/CT06_calibration_dem_and_control/vbr1_l2_complete_calibration_loop,designed release source generated; dual evidence pending rerun
vbr1_l2_converter_front_end,Converter front-end,selected_l2_target,tb|e2e,,tasks/end-to-end/voltage/sample_hold_droop_smoke,,benchmark-vabench-release-v1/tasks/CT03_sampling_and_analog_memory/vbr1_l2_converter_front_end,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l2_converter_static_linearity_measurement_flow,Converter static linearity measurement flow,selected_l2_target,e2e|tb,,designed_release_spec:vbr1_l2_converter_static_linearity_measurement_flow,,benchmark-vabench-release-v1/tasks/CT01_data_converter_models/vbr1_l2_converter_static_linearity_measurement_flow,ahdlLib-guided clean-room replacement for vbr1_l2_adc_dac_reconstruction_chain; dual evidence pending rerun
vbr1_l2_cppll_tracking_and_frequency_step_reacquire_flow,CPPLL tracking and frequency-step reacquire flow,selected_l2_target,tb|e2e,,tasks/end-to-end/voltage/cppll_freq_step_reacquire_smoke,,benchmark-vabench-release-v1/tasks/CT05_pll_clock_and_timing_systems/vbr1_l2_cppll_tracking_and_frequency_step_reacquire_flow,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l2_flash_adc_mini_array,Flash ADC mini-array,selected_l2_target,tb|e2e,,tasks/end-to-end/voltage/flash_adc_3b_smoke,,benchmark-vabench-release-v1/tasks/CT01_data_converter_models/vbr1_l2_flash_adc_mini_array,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l2_gain_extraction_convergence_measurement_flow,Gain extraction/convergence measurement flow,selected_l2_target,tb|e2e,,tasks/end-to-end/voltage/gain_extraction_smoke,,benchmark-vabench-release-v1/tasks/SUP01_measurement_instrumentation_flows/vbr1_l2_gain_extraction_convergence_measurement_flow,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l2_iq_downconversion_chain,I/Q downconversion chain,selected_l2_target,e2e|tb,,designed_release_spec:vbr1_l2_iq_downconversion_chain,,benchmark-vabench-release-v1/tasks/CT08_rf_afe_behavioral_macromodels/vbr1_l2_iq_downconversion_chain,designed release source generated; dual evidence pending rerun
vbr1_l2_ldo_load_step_recovery_flow,LDO load-step recovery flow,selected_l2_target,e2e|tb,,designed_release_spec:vbr1_l2_ldo_load_step_recovery_flow,,benchmark-vabench-release-v1/tasks/CT07_bias_reference_power_management/vbr1_l2_ldo_load_step_recovery_flow,designed release source generated; dual evidence pending rerun
vbr1_l2_measurement_flow,Measurement flow,selected_l2_target,tb|e2e,,tasks/end-to-end/voltage/final_step_file_metric_smoke,,benchmark-vabench-release-v1/tasks/SUP01_measurement_instrumentation_flows/vbr1_l2_measurement_flow,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
vbr1_l2_programmable_stimulus_sequencer,Programmable stimulus sequencer,selected_l2_target,e2e|tb,,designed_release_spec:vbr1_l2_programmable_stimulus_sequencer,,benchmark-vabench-release-v1/tasks/SUP02_stimulus_and_source_generators/vbr1_l2_programmable_stimulus_sequencer,designed release source generated; dual evidence pending rerun
vbr1_l2_reference_startup_enable_flow,Reference startup/enable flow,selected_l2_target,e2e|tb,,designed_release_spec:vbr1_l2_reference_startup_enable_flow,,benchmark-vabench-release-v1/tasks/CT07_bias_reference_power_management/vbr1_l2_reference_startup_enable_flow,designed release source generated; dual evidence pending rerun
vbr1_l2_weighted_sar_adc_dac_loop,Weighted SAR ADC/DAC loop,selected_l2_target,tb|e2e,,tasks/end-to-end/voltage/sar_adc_dac_weighted_8b_smoke,,benchmark-vabench-release-v1/tasks/CT01_data_converter_models/vbr1_l2_weighted_sar_adc_dac_loop,selected source copied; release checks normalized when needed; dual evidence pending rerun; companion forms generated from existing release gold
