task_id,base,form,family,category_hint,exact_current_task,current_task_path,candidate_current_tasks,evas_status,spectre_status,evas_weighted_total,spectre_weighted_total,evas_staged_files,spectre_staged_files,evas_staged_source_files,spectre_staged_source_files,staged_source_hash_match,evas_staged_dir,spectre_staged_dir,materialization_state,missing_source_pieces,asset_type,benchmark_split,release_form,provenance_status,source_main120_id,badcase_origin,counts_model_capability,counts_benchmark_coverage,counts_bugfix_claim,promotion_blockers
vbm1_cdac_calibration_e2e,cdac_calibration,e2e,end-to-end,dac,no,,cdac_cal:0.40;vbm1_cdac_calibration_bugfix:0.29,PASS,PASS,1.0,1.0,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_cdac_calibration_e2e/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_cdac_calibration_e2e/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_cdac_calibration_e2e,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_cdac_calibration_tb,cdac_calibration,tb,tb-generation,dac,no,,cdac_cal:0.40;vbm1_cdac_calibration_bugfix:0.29,PASS,PASS,1.0,1.0,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,cdac_calibration.va;tb_cdac_calibration_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_cdac_calibration_tb/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_cdac_calibration_tb/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_cdac_calibration_tb,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_debounce_latch_bugfix,debounce_latch,bugfix,bugfix,digital-logic,yes,tasks/bugfix/voltage/digital-logic/vbm1_debounce_latch_bugfix,,PASS,PASS,1.0,1.0,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_debounce_latch_bugfix/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_debounce_latch_bugfix/staged,has_exact_task_id,,vabench_task,vabench-main-v1,true-bugfix,reconstructed_badcase,vbm1_debounce_latch_bugfix,reconstructed,true,true,true,
vbm1_debounce_latch_dut,debounce_latch,dut,spec-to-va,digital-logic,no,,vbm1_debounce_latch_bugfix:0.25,PASS,PASS,1.0,1.0,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_debounce_latch_dut/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_debounce_latch_dut/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_debounce_latch_dut,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_debounce_latch_e2e,debounce_latch,e2e,end-to-end,digital-logic,no,,vbm1_debounce_latch_bugfix:0.25,PASS,PASS,1.0,1.0,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_debounce_latch_e2e/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_debounce_latch_e2e/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_debounce_latch_e2e,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_debounce_latch_tb,debounce_latch,tb,tb-generation,digital-logic,no,,vbm1_debounce_latch_bugfix:0.25,PASS,PASS,1.0,1.0,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,debounce_latch.va;tb_debounce_latch_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_debounce_latch_tb/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_debounce_latch_tb/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_debounce_latch_tb,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_edge_detector_bugfix,edge_detector,bugfix,bugfix,digital-logic,yes,tasks/bugfix/voltage/digital-logic/vbm1_edge_detector_bugfix,,PASS,PASS,1.0,1.0,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_edge_detector_bugfix/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_edge_detector_bugfix/staged,has_exact_task_id,,vabench_task,vabench-main-v1,true-bugfix,reconstructed_badcase,vbm1_edge_detector_bugfix,reconstructed,true,true,true,
vbm1_edge_detector_dut,edge_detector,dut,spec-to-va,digital-logic,yes,tasks/spec-to-va/voltage/digital-logic/vbm1_edge_detector_dut,,PASS,PASS,1.0,1.0,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_edge_detector_dut/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_edge_detector_dut/staged,has_exact_task_id,,vabench_task,vabench-main-v1,normal,clean,vbm1_edge_detector_dut,,true,true,false,
vbm1_edge_detector_e2e,edge_detector,e2e,end-to-end,digital-logic,yes,tasks/end-to-end/voltage/digital-logic/vbm1_edge_detector_e2e,,PASS,PASS,1.0,1.0,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_edge_detector_e2e/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_edge_detector_e2e/staged,has_exact_task_id,,vabench_task,vabench-main-v1,normal,clean,vbm1_edge_detector_e2e,,true,true,false,
vbm1_edge_detector_tb,edge_detector,tb,tb-generation,digital-logic,yes,tasks/tb-generation/voltage/digital-logic/vbm1_edge_detector_tb,,PASS,PASS,1.0,1.0,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,edge_detector.va;tb_edge_detector_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_edge_detector_tb/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_edge_detector_tb/staged,has_exact_task_id,,vabench_task,vabench-main-v1,normal,clean,vbm1_edge_detector_tb,,true,true,false,
vbm1_element_shuffler_bugfix,element_shuffler,bugfix,bugfix,calibration,yes,tasks/bugfix/voltage/calibration/vbm1_element_shuffler_bugfix,,PASS,PASS,1.0,1.0,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_element_shuffler_bugfix/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_element_shuffler_bugfix/staged,has_exact_task_id,,vabench_task,vabench-main-v1,true-bugfix,reconstructed_badcase,vbm1_element_shuffler_bugfix,reconstructed,true,true,true,
vbm1_element_shuffler_dut,element_shuffler,dut,spec-to-va,calibration,yes,tasks/spec-to-va/voltage/calibration/vbm1_element_shuffler_dut,,PASS,PASS,1.0,1.0,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_element_shuffler_dut/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_element_shuffler_dut/staged,has_exact_task_id,,vabench_task,vabench-main-v1,normal,clean,vbm1_element_shuffler_dut,,true,true,false,
vbm1_element_shuffler_e2e,element_shuffler,e2e,end-to-end,calibration,yes,tasks/end-to-end/voltage/calibration/vbm1_element_shuffler_e2e,,PASS,PASS,1.0,1.0,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_element_shuffler_e2e/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_element_shuffler_e2e/staged,has_exact_task_id,,vabench_task,vabench-main-v1,normal,clean,vbm1_element_shuffler_e2e,,true,true,false,
vbm1_element_shuffler_tb,element_shuffler,tb,tb-generation,calibration,yes,tasks/tb-generation/voltage/calibration/vbm1_element_shuffler_tb,,PASS,PASS,1.0,1.0,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,element_shuffler.va;tb_element_shuffler_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_element_shuffler_tb/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_element_shuffler_tb/staged,has_exact_task_id,,vabench_task,vabench-main-v1,normal,clean,vbm1_element_shuffler_tb,,true,true,false,
vbm1_file_metric_writer_bugfix,file_metric_writer,bugfix,bugfix,measurement,no,,,PASS,PASS,1.0,1.0,file_metric_writer.va;metric.out;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_file_metric_writer_bugfix/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_file_metric_writer_bugfix/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,evidence-only,historical_bugfix_fixed_only,vbm1_file_metric_writer_bugfix,,false,false,false,missing_buggy_fixed_pair;needs_D004_review;missing_prompt_meta_checks_gold_review
vbm1_file_metric_writer_dut,file_metric_writer,dut,spec-to-va,measurement,no,,,PASS,PASS,1.0,1.0,file_metric_writer.va;metric.out;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_file_metric_writer_dut/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_file_metric_writer_dut/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_file_metric_writer_dut,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_file_metric_writer_e2e,file_metric_writer,e2e,end-to-end,measurement,no,,,PASS,PASS,1.0,1.0,file_metric_writer.va;metric.out;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_file_metric_writer_e2e/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_file_metric_writer_e2e/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_file_metric_writer_e2e,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_file_metric_writer_tb,file_metric_writer,tb,tb-generation,measurement,no,,,PASS,PASS,1.0,1.0,file_metric_writer.va;metric.out;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,file_metric_writer.va;tb_file_metric_writer_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_file_metric_writer_tb/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_file_metric_writer_tb/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_file_metric_writer_tb,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_first_order_lowpass_bugfix,first_order_lowpass,bugfix,bugfix,amplifier-filter,no,,,PASS,PASS,1.0,1.0,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_first_order_lowpass_bugfix/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_first_order_lowpass_bugfix/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,evidence-only,historical_bugfix_fixed_only,vbm1_first_order_lowpass_bugfix,,false,false,false,missing_buggy_fixed_pair;needs_D004_review;missing_prompt_meta_checks_gold_review
vbm1_first_order_lowpass_dut,first_order_lowpass,dut,spec-to-va,amplifier-filter,no,,,PASS,PASS,1.0,1.0,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_first_order_lowpass_dut/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_first_order_lowpass_dut/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_first_order_lowpass_dut,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_first_order_lowpass_e2e,first_order_lowpass,e2e,end-to-end,amplifier-filter,no,,,PASS,PASS,1.0,1.0,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_first_order_lowpass_e2e/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_first_order_lowpass_e2e/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_first_order_lowpass_e2e,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_first_order_lowpass_tb,first_order_lowpass,tb,tb-generation,amplifier-filter,no,,,PASS,PASS,1.0,1.0,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,first_order_lowpass.va;tb_first_order_lowpass_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_first_order_lowpass_tb/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_first_order_lowpass_tb/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_first_order_lowpass_tb,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_gain_trim_controller_bugfix,gain_trim_controller,bugfix,bugfix,uncategorized,no,,,PASS,PASS,1.0,1.0,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_gain_trim_controller_bugfix/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_gain_trim_controller_bugfix/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,evidence-only,historical_bugfix_fixed_only,vbm1_gain_trim_controller_bugfix,,false,false,false,missing_buggy_fixed_pair;needs_D004_review;missing_prompt_meta_checks_gold_review
vbm1_gain_trim_controller_dut,gain_trim_controller,dut,spec-to-va,uncategorized,no,,,PASS,PASS,1.0,1.0,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_gain_trim_controller_dut/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_gain_trim_controller_dut/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_gain_trim_controller_dut,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_gain_trim_controller_e2e,gain_trim_controller,e2e,end-to-end,uncategorized,no,,,PASS,PASS,1.0,1.0,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_gain_trim_controller_e2e/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_gain_trim_controller_e2e/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_gain_trim_controller_e2e,,true,true,false,missing_prompt_meta_checks_gold_review
vbm1_gain_trim_controller_tb,gain_trim_controller,tb,tb-generation,uncategorized,no,,,PASS,PASS,1.0,1.0,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,gain_trim_controller.va;tb_gain_trim_controller_ref.scs,yes,results/vabench-main-v1-main120-gold-evas-2026-05-08/vbm1_gain_trim_controller_tb/staged,results/vabench-main-v1-main120-gold-spectre-jin-2026-05-08/vbm1_gain_trim_controller_tb/staged,needs_source_task,prompt.md;meta.json;checks.yaml;gold/,vabench_task,vabench-main-v1,normal,clean,vbm1_gain_trim_controller_tb,,true,true,false,missing_prompt_meta_checks_gold_review
