batch,risk,entry_id,level,category,base_function,forms,certification,representative_form,prompt_preview,gold_modules,checker_focus,risk_reason,human_review_question,next_action_preference
I Bias reference and power,P3,vbr1_l1_ldo_regulator_macro_model,L1,Bias Reference and Power Management,LDO regulator macro model,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Bias Reference and Power Management - Base function: LDO regulator macro model - Domain: `voltage` - Target artifact(s): `ldo_regulator_macro_model.va` - Visible context: public task, interface, artifact, stimulus, and o...",ldo_regulator_macro_model,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
I Bias reference and power,P3,vbr1_l1_ptat_ctat_reference_generator,L1,Bias Reference and Power Management,PTAT/CTAT reference generator,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Bias Reference and Power Management - Base function: PTAT/CTAT reference generator - Domain: `voltage` - Target artifact(s): `ptat_ctat_reference_generator.va` - Visible context: public task, interface, artifact, stimulu...",ptat_ctat_reference_generator,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
I Bias reference and power,P3,vbr1_l1_power_on_reset_detector,L1,Bias Reference and Power Management,Power-on-reset detector,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Bias Reference and Power Management - Base function: Power-on-reset detector - Domain: `voltage` - Target artifact(s): `power_on_reset_detector.va` - Visible context: public task, interface, artifact, stimulus, and obser...",power_on_reset_detector,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
I Bias reference and power,P3,vbr1_l1_uvlo_brownout_detector,L1,Bias Reference and Power Management,UVLO/brownout detector,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Bias Reference and Power Management - Base function: UVLO/brownout detector - Domain: `voltage` - Target artifact(s): `uvlo_brownout_detector.va` - Visible context: public task, interface, artifact, stimulus, and observa...",uvlo_brownout_detector,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
I Bias reference and power,P1,vbr1_l2_ldo_load_step_recovery_flow,L2,Bias Reference and Power Management,LDO load-step recovery flow,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Bias Reference and Power Management - Base function: LDO load-step recovery flow - Domain: `voltage` - Target artifact(s): `ldo_load_step_recovery_flow.va`, `tb_ldo_load_step_recovery_flow.scs`",ldo_load_step_recovery_flow,"sim_correct, metric, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
I Bias reference and power,P1,vbr1_l2_reference_startup_enable_flow,L2,Bias Reference and Power Management,Reference startup/enable flow,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Bias Reference and Power Management - Base function: Reference startup/enable flow - Domain: `voltage` - Target artifact(s): `reference_startup_enable_flow.va`, `tb_reference_startup_enable_flow.scs`",reference_startup_enable_flow,"sim_correct, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
D Calibration and DEM,P3,vbr1_l1_calibration_deadband_controller,L1,"Calibration, DEM, and Control",Calibration deadband controller,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Calibration, DEM, and Control - Base function: Calibration deadband controller - Domain: `voltage` - Target artifact(s): `calibration_deadband_controller.va` - Visible context: public task, interface, artifact, stimulus,...",calibration_deadband_controller,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
D Calibration and DEM,P3,vbr1_l1_dwa_dem_encoder,L1,"Calibration, DEM, and Control",DWA/DEM encoder,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Calibration, DEM, and Control - Base function: DWA/DEM encoder - Domain: `voltage` - Target artifact(s): `dwa_ptr_gen.va`, `v2b_4b.va` - Supplied/reference support artifact(s): `tb_dwa_ptr_gen_ref.scs`","dwa_ptr_gen, v2b_4b","sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
D Calibration and DEM,P3,vbr1_l1_element_shuffler,L1,"Calibration, DEM, and Control",Element shuffler,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Calibration, DEM, and Control - Base function: Element shuffler - Domain: `voltage` - Target artifact(s): `element_shuffler.va` - Supplied/reference support artifact(s): `tb_element_shuffler_ref.scs`",element_shuffler,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
D Calibration and DEM,P3,vbr1_l1_gain_trim_controller,L1,"Calibration, DEM, and Control",Gain trim controller,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Calibration, DEM, and Control - Base function: Gain trim controller - Domain: `voltage` - Target artifact(s): `gain_trim_controller.va` - Supplied/reference support artifact(s): `tb_gain_trim_controller_ref.scs`",gain_trim_controller,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
D Calibration and DEM,P3,vbr1_l1_successive_approximation_calibration_search_fsm,L1,"Calibration, DEM, and Control",Successive-approximation calibration/search FSM,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Calibration, DEM, and Control - Base function: Successive-approximation calibration/search FSM - Domain: `voltage` - Target artifact(s): `successive_approximation_calibration_search_fsm.va`",successive_approximation_calibration_search_fsm,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
D Calibration and DEM,P3,vbr1_l1_trim_calibration_controller,L1,"Calibration, DEM, and Control",Trim-voltage generator,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Calibration, DEM, and Control - Base function: Trim-voltage generator - Domain: `voltage` - Target artifact(s): `cdac_calibration.va` - Supplied/reference support artifact(s): `tb_cdac_calibration_ref.scs`",cdac_calibration,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
D Calibration and DEM,P1,vbr1_l2_complete_calibration_loop,L2,"Calibration, DEM, and Control",Complete calibration loop,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Calibration, DEM, and Control - Base function: Complete calibration loop - Domain: `voltage` - Target artifact(s): `complete_calibration_loop.va`, `tb_complete_calibration_loop.scs`",complete_calibration_loop,"sim_correct, metric, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
C Comparators,P3,vbr1_l1_debounce_latch,L1,Comparator and Decision Circuits,Comparator debounce latch,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Comparator and Decision Circuits - Base function: Comparator debounce latch - Domain: `voltage` - Target artifact(s): `debounce_latch.va` - Supplied/reference support artifact(s): `tb_debounce_latch_ref.scs`,debounce_latch,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
C Comparators,P3,vbr1_l1_hysteresis_comparator,L1,Comparator and Decision Circuits,Hysteresis comparator,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Comparator and Decision Circuits - Base function: Hysteresis comparator - Domain: `voltage` - Target artifact(s): `cmp_hysteresis.va` - Supplied/reference support artifact(s): `tb_cmp_hysteresis_ref.scs`,cmp_hysteresis,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
C Comparators,P3,vbr1_l1_offset_comparator,L1,Comparator and Decision Circuits,Offset comparator,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Comparator and Decision Circuits - Base function: Offset comparator - Domain: `voltage` - Target artifact(s): `cmp_offset_ref.va` - Supplied/reference support artifact(s): `tb_comparator_offset_ref.scs`,cmp_offset_ref,"sim_correct, behavior, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
C Comparators,P3,vbr1_l1_propagation_delay_comparator,L1,Comparator and Decision Circuits,Propagation-delay comparator,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Comparator and Decision Circuits - Base function: Propagation-delay comparator - Domain: `voltage` - Target artifact(s): `cmp_delay.va`, `edge_interval_timer.va` - Supplied/reference support artifact(s): `tb_cmp_delay_re...","cmp_delay, edge_interval_timer","sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
C Comparators,P3,vbr1_l1_strongarm_style_latch_comparator,L1,Comparator and Decision Circuits,StrongARM-style latch comparator,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Comparator and Decision Circuits - Base function: StrongARM-style latch comparator - Domain: `voltage` - Target artifact(s): `cmp_strongarm.va` - Supplied/reference support artifact(s): `tb_cmp_strongarm_ref.scs`,cmp_strongarm,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
C Comparators,P3,vbr1_l1_threshold_comparator,L1,Comparator and Decision Circuits,Threshold comparator,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Comparator and Decision Circuits - Base function: Threshold comparator - Domain: `voltage` - Target artifact(s): `comparator.va` - Supplied/reference support artifact(s): `tb_comparator_ref.scs`,comparator,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
C Comparators,P3,vbr1_l1_window_comparator_detector,L1,Comparator and Decision Circuits,Window comparator/detector,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Comparator and Decision Circuits - Base function: Window comparator/detector - Domain: `voltage` - Target artifact(s): `window_comparator_ref.va` - Supplied/reference support artifact(s): `tb_window_comparator_ref.scs`,window_comparator_ref,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
C Comparators,P1,vbr1_l2_comparator_measurement_flow,L2,Comparator and Decision Circuits,Single-ramp comparator offset measurement flow,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Comparator and Decision Circuits - Base function: Single-ramp comparator offset measurement flow - Domain: `voltage` - Target artifact(s): `comparator_offset_search_ref.va`, `tb_comparator_offset_search_ref.scs`",comparator_offset_search_ref,"sim_correct, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
A Data converters,P3,vbr1_l1_capacitive_weighted_sar_feedback_dac,L1,Data Converter Models,Capacitive/weighted SAR feedback DAC,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Data Converter Models - Base function: Capacitive/weighted SAR feedback DAC - Domain: `voltage` - Target artifact(s): `cdac_cal.va` - Supplied/reference support artifact(s): `tb_cdac_cal_ref.scs`,cdac_cal,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
A Data converters,P3,vbr1_l1_clocked_adc_quantizer,L1,Data Converter Models,Clocked ADC quantizer,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Data Converter Models - Base function: Clocked ADC quantizer - Domain: `voltage` - Target artifact(s): `flash_adc_3b.va` - Supplied/reference support artifact(s): `tb_flash_adc_3b_ref.scs`,flash_adc_3b,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
A Data converters,P3,vbr1_l1_dac_mismatch_unit_weighting_model,L1,Data Converter Models,DAC mismatch/unit-weighting model,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Data Converter Models - Base function: DAC mismatch/unit-weighting model - Domain: `voltage` - Target artifact(s): `dac_mismatch_unit_weighting_model.va` - Visible context: public task, interface, artifact, stimulus, and...",dac_mismatch_unit_weighting_model,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
A Data converters,P3,vbr1_l1_pipeline_adc_stage,L1,Data Converter Models,Pipeline ADC MDAC stage,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Data Converter Models - Base function: Pipeline ADC MDAC stage - Domain: `voltage` - Target artifact(s): `pipeline_stage.va` - Supplied/reference support artifact(s): `tb_pipeline_stage_ref.scs`,pipeline_stage,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
A Data converters,P3,vbr1_l1_sar_logic,L1,Data Converter Models,SAR logic,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Data Converter Models - Base function: SAR logic - Domain: `voltage` - Target artifact(s): `sar_logic_4b.va` - Supplied/reference support artifact(s): `tb_sar_logic_4b_ref.scs` - Visible context: public task, interface, ...",sar_logic_4b,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
A Data converters,P3,vbr1_l1_segmented_dac,L1,Data Converter Models,Segmented DAC,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Data Converter Models - Base function: Segmented DAC - Domain: `voltage` - Target artifact(s): `segmented_dac.va` - Supplied/reference support artifact(s): `tb_segmented_dac_ref.scs`,segmented_dac,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
A Data converters,P3,vbr1_l1_binary_weighted_voltage_dac,L1,Data Converter Models,Simple 4-bit binary-coded DAC,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Data Converter Models - Base function: Simple 4-bit binary-coded DAC - Domain: `voltage` - Target artifact(s): `simple_binary_voltage_dac_4b.va` - Supplied/reference support artifact(s): `tb_simple_binary_voltage_dac_4b_...,simple_binary_voltage_dac_4b,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
A Data converters,P3,vbr1_l1_thermometer_code_decoder,L1,Data Converter Models,Thermometer-code decoder,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Data Converter Models - Base function: Thermometer-code decoder - Domain: `voltage` - Target artifact(s): `thermometer_decoder_guarded.va` - Supplied/reference support artifact(s): `tb_thermometer_decoder_guarded_ref.scs...,thermometer_decoder_guarded,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
A Data converters,P3,vbr1_l1_unit_element_thermometer_dac,L1,Data Converter Models,Unit-element thermometer DAC,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Data Converter Models - Base function: Unit-element thermometer DAC - Domain: `voltage` - Target artifact(s): `thermometer_dac_15seg.va` - Supplied/reference support artifact(s): `tb_thermometer_dac_15seg_ref.scs`,thermometer_dac_15seg,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
A Data converters,P1,vbr1_l2_converter_static_linearity_measurement_flow,L2,Data Converter Models,Converter static linearity measurement flow,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Data Converter Models - Base function: Converter static linearity measurement flow - Domain: `voltage` - Target artifact(s): `converter_static_linearity_measurement_flow.va`, `tb_converter_static_linearity_measurement_fl...",converter_static_linearity_measurement_flow,"sim_correct, metric, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
A Data converters,P1,vbr1_l2_flash_adc_mini_array,L2,Data Converter Models,Flash ADC mini-array,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Data Converter Models - Base function: Flash ADC mini-array - Domain: `voltage` - Target artifact(s): `flash_adc_3b.va`, `tb_flash_adc_3b_ref.scs` - Visible context: public task, interface, artifact, stimulus, and observ...",flash_adc_3b,"sim_correct, compile",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
A Data converters,P1,vbr1_l2_pipeline_adc_chain,L2,Data Converter Models,Pipeline ADC residue chain,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Data Converter Models - Base function: Pipeline ADC residue chain - Domain: `voltage` - Target artifact(s): `pipeline_adc_chain_4b.va`, `tb_pipeline_adc_chain_4b_ref.scs` - Visible context: public task, interface, artifa...",pipeline_adc_chain_4b,"sim_correct, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
A Data converters,P1,vbr1_l2_weighted_sar_adc_dac_loop,L2,Data Converter Models,Weighted SAR ADC/DAC loop,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Data Converter Models - Base function: Weighted SAR ADC/DAC loop - Domain: `voltage` - Target artifact(s): `dac_weighted_8b.va`, `sar_adc_weighted_8b.va`, `sh_ideal.va`, `tb_sar_adc_dac_weighted_8b_ref.scs`","dac_weighted_8b, sar_adc_weighted_8b, sh_ideal","sim_correct, behavior, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l1_crossing_metric_writer,L1,Measurement Instrumentation Flows,Crossing metric writer,"dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Measurement Instrumentation Flows - Base function: Crossing metric writer - Domain: `voltage` - Target artifact(s): `file_metric_writer.va` - Supplied/reference support artifact(s): `tb_file_metric_writer_ref.scs`,file_metric_writer,"sim_correct, behavior, metric, waveform, compile",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l1_edge_interval_timer,L1,Measurement Instrumentation Flows,Edge interval timer,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L1` - Category: Measurement Instrumentation Flows - Base function: Edge interval timer - Domain: `voltage` - Target artifact(s): `cross_interval_163p333_ref.va`, `tb_cross_interval_163p333_ref.scs`",cross_interval_163p333_ref,"sim_correct, waveform, compile",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l1_gain_estimator,L1,Measurement Instrumentation Flows,Gain estimator,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L1` - Category: Measurement Instrumentation Flows - Base function: Gain estimator - Domain: `voltage` - Target artifact(s): `gain_estimator.va`, `tb_gain_estimator_ref.scs` - Visible context: public task, interface, artifact, stimulus, ...",gain_estimator,"sim_correct, waveform, compile, spectre",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l1_peak_detector,L1,Measurement Instrumentation Flows,Peak detector,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Measurement Instrumentation Flows - Base function: Peak detector - Domain: `voltage` - Target artifact(s): `peak_detector.va` - Supplied/reference support artifact(s): `tb_peak_detector_ref.scs`,peak_detector,"sim_correct, compile",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
