base_id,release_name,release_category,release_level,e2e_counting_rule,canonical_kernel,counts_as_distinct_function,allowed_task_forms,release_status,evidence_status,notes
pfd_reset_race,PFD UP/DN reset-race behavior,PLL Clock and Event Timing,L1,L1-form,up_dn_reset_race_relation,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass_bugfix_confirmed,Good source-backed bugfix candidate.
precision_rectifier,precision rectifier,Baseband Signal Conditioning,L1,L1-form,absolute_or_halfwave_transform,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Signal-conditioning function.
resettable_counter_divider,resettable clock divider,PLL Clock and Event Timing,L1,L1-form,resettable_divide_sequence,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Clarify reset and output ratio in prompt/checker.
resettable_integrator,resettable integrator,Baseband Signal Conditioning,L1,L1-form,integrator_with_reset,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Signal-conditioning or control primitive.
rotating_element_selector,rotating DEM selector,Calibration DEM and Control,L1,L1-form,rotating_unit_element_pointer,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Distinct from windowed pointer if checker observes rotation rule.
sar_logic_4b,4-bit SAR logic,Data Converter Models,L1,L1-form,successive_approximation_sequence,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Logic controller for converter family.
segmented_dac,segmented DAC,Data Converter Models,L1,L1-form,segmented_code_to_voltage,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass_bugfix_confirmed,Keep distinct from simple binary-weighted DAC.
settling_time_measurement_tb,settling-time measurement testbench,Measurement Instrumentation Flows,L1,L1-form,settling_window_metric,yes,tb|e2e,release_seed_with_extra_check,main120_dual_pass,Prompt/checker must define tolerance band and report metric semantics.
slew_rate_limiter,slew-rate limiter,Baseband Signal Conditioning,L1,L1-form,bounded_slope_transform,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Signal-conditioning function.
strongarm_comparator_behavior,StrongARM-style latch comparator behavior,Comparator and Decision Circuits,L1,L1-form,clocked_latch_comparator,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Behavioral abstraction not transistor-level StrongARM latch.
simple_binary_voltage_dac_4b,simple 4-bit binary-coded DAC,Data Converter Models,L1,L1-form,binary_code_to_voltage,yes,dut|tb|bugfix|e2e,release_clean,main120_dual_pass,Release-facing base id and wording use simple 4-bit binary-coded DAC; historical main120 thermometer_dac naming is provenance only.
thermometer_decoder_guarded,guarded thermometer-code decoder,Data Converter Models,L1,L1-form,binary_to_thermometer_decode,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Decoder function distinct from analog DAC output.
track_hold_aperture,aperture-delay track-and-hold,Sample Hold and Analog Memory,L1,L1-form,track_hold_with_aperture_delay,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Front-end analog memory primitive.
vco_phase_integrator,VCO phase integrator,PLL Clock and Event Timing,L1,L1-form,phase_frequency_accumulation,yes,dut|tb|bugfix|e2e,release_seed_with_tolerance_policy,main120_dual_pass,Startup sample semantics belong in parity/tolerance policy not public prompt.
voltage_clamp,voltage clamp or limiter,Baseband Signal Conditioning,L1,L1-form,saturating_voltage_transform,yes,dut|tb|bugfix|e2e,release_seed,main120_dual_pass,Map historical signal-source hint to signal conditioning.
